,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2023-09-04 12:00:00,0.0,787.7207,0.0,872.5915,890.03766,0.0,914.8949,924.6672,944.1917,944.52997,0.0,979.2554,0.0,1009.12646,1014.22656,1030.026,1053.5653,1074.2634,1111.975,1174.7043
2023-09-04 13:00:00,0.0,819.6762,0.0,903.3684,921.0397,0.0,946.44745,956.8174,975.9728,976.2496,0.0,1008.8923,0.0,1038.2595,1044.4758,1061.0488,1083.188,1103.9742,1144.308,1204.4834
2023-09-04 14:00:00,0.0,759.12256,0.0,841.24,857.0175,0.0,886.47046,899.914,917.2458,920.85657,0.0,949.1304,0.0,978.73553,988.86536,1008.3517,1029.0994,1052.6497,1095.8607,1156.1366
2023-09-04 15:00:00,0.0,610.0457,0.0,684.9039,698.7443,0.0,730.1502,742.08673,758.5628,764.1278,0.0,790.13324,0.0,817.2425,829.67914,851.01117,872.0381,897.0137,939.6754,999.03644
2023-09-04 16:00:00,0.0,428.50333,0.0,488.2577,500.09265,0.0,529.5926,537.8623,553.6694,559.0889,0.0,583.46674,0.0,606.9747,617.6547,637.7567,655.9185,677.37726,714.605,768.86926
2023-09-04 17:00:00,0.0,250.25385,0.0,289.70865,297.03317,0.0,312.18558,315.45663,324.93857,327.04263,0.0,342.2055,0.0,356.39752,360.91818,370.25574,383.16547,396.71118,418.94095,457.31137
2023-09-04 18:00:00,0.0,95.59041,0.0,109.85191,112.04841,0.0,114.51714,111.09817,115.99633,114.54836,0.0,121.124214,0.0,123.68686,124.58563,125.11538,129.90562,134.46288,143.44719,166.32445
2023-09-05 05:00:00,0.0,103.681274,0.0,121.61739,125.058754,0.0,129.30783,126.67219,132.04744,131.25175,0.0,139.01314,0.0,143.25731,144.6579,146.27464,152.85884,158.62953,169.94588,195.13228
2023-09-05 06:00:00,0.0,226.81511,0.0,262.07224,268.5285,0.0,280.84488,281.64636,289.93637,291.72208,0.0,303.47858,0.0,315.07047,317.48767,324.48877,336.9423,348.43002,366.741,401.4154
2023-09-05 07:00:00,0.0,384.06808,0.0,441.29398,451.6348,0.0,477.17496,486.05487,497.1426,502.0841,0.0,522.1474,0.0,543.4248,550.7348,564.72687,584.6255,603.5514,628.22675,669.60187
2023-09-05 08:00:00,0.0,568.2573,0.0,638.021,652.0375,0.0,683.9055,696.271,709.5749,715.1949,0.0,742.13855,0.0,766.83685,779.59656,796.1959,818.6699,838.9223,873.0244,925.3311
2023-09-05 09:00:00,0.0,665.5523,0.0,747.3784,764.4804,0.0,798.8985,812.31,832.05914,838.83514,0.0,871.15906,0.0,903.2686,916.37787,939.38855,961.64124,986.6061,1035.65,1108.386
2023-09-05 10:00:00,0.0,697.31506,0.0,782.53296,799.5787,0.0,835.9962,853.0207,871.45514,879.6669,0.0,909.416,0.0,943.9082,958.41736,981.866,1003.5068,1029.9867,1081.0198,1155.5062
2023-09-05 11:00:00,0.0,640.00037,0.0,723.0601,740.17096,0.0,772.6512,787.1779,805.0995,811.8148,0.0,841.7355,0.0,875.1614,887.0709,909.2301,932.5891,959.2455,1009.35425,1082.7609
2023-09-05 12:00:00,0.0,507.58176,0.0,582.86743,598.446,0.0,635.4466,648.9948,667.4509,676.492,0.0,707.18835,0.0,740.1682,754.4064,780.8217,804.7959,833.04626,884.47705,956.6816
