,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
2023-11-18 14:00:00,29.582096,48.0595,53.72194,56.449024,59.935978,63.959023,67.078995,70.34829,71.32646,74.838646,76.892685,79.006035,81.02621,83.190285,84.81122,86.31008,87.795074,89.181885,90.15091,91.6801,93.11472,94.2778,95.34782,95.92313,96.60787,98.06556,99.35969,100.080444,101.07615,101.667206,102.43474,103.28786,103.56277,104.70518,105.47163,106.51793,107.312675,108.06902,109.27593,110.62649,111.28577,112.2915,113.28303,115.47179,117.5019,120.12927,121.064804,123.74782,128.13942,135.11078
2023-11-18 15:00:00,8.088953,14.211425,15.614651,16.01455,16.986992,18.160315,19.024223,19.9327,20.085983,21.108429,21.569317,21.977592,22.412308,22.93219,23.25372,23.587683,24.027843,24.37122,24.582905,24.944632,25.257263,25.51193,25.73164,25.901947,26.068174,26.48149,26.902836,27.033993,27.239973,27.37883,27.51074,27.748924,27.884382,28.20789,28.454176,28.912727,29.089514,29.417072,29.882383,30.3428,30.630207,31.067047,31.52602,32.29319,33.27078,34.154743,34.727158,36.334656,37.977234,43.87821
2023-11-19 09:00:00,0.9164305,4.16637,4.873059,5.4401155,5.9537964,6.442725,6.636448,6.9881635,7.0600533,7.317029,7.5660806,7.811171,7.966204,8.133274,8.238716,8.448636,8.533071,8.67826,8.866592,9.077248,9.270865,9.473594,9.710554,9.862805,10.026649,10.315733,10.453845,10.696356,10.881006,11.085932,11.248986,11.4992,11.701888,11.972946,12.192733,12.375149,12.665638,12.890224,13.114848,13.419354,13.683117,13.961308,14.365426,14.620623,15.165802,15.888505,16.733202,17.905605,19.494766,26.709488
2023-11-19 10:00:00,4.622924,8.499759,9.3479,10.382705,11.289949,12.287073,12.5402155,13.265854,13.168337,13.768943,14.395807,14.964206,15.362438,15.690457,16.057837,16.549969,16.74939,17.190954,17.63876,18.158577,18.570295,19.148127,19.913715,20.40467,20.842237,21.80039,22.218931,22.857306,23.315159,23.915625,24.411182,25.151937,25.896822,26.643215,27.288015,28.109097,28.945145,29.754208,30.519907,31.516212,32.361584,33.45866,34.50602,35.423946,37.130184,39.05858,41.134224,44.387234,48.69916,62.371746
2023-11-19 11:00:00,9.909197,16.508015,15.680527,17.254562,18.062313,18.964128,18.381617,19.830397,19.503529,19.520866,20.086548,20.38243,20.575218,20.5866,20.611734,21.430132,20.560925,21.090263,21.592005,22.563747,22.909136,23.310255,24.483385,24.99664,26.070717,27.181108,27.391136,28.542234,29.652145,30.044384,30.99276,32.4206,33.273262,35.23167,36.913868,37.568954,39.959137,40.986313,42.35268,44.368755,46.346127,48.598507,51.732285,53.61217,57.377266,61.222797,65.3583,71.600296,81.09969,103.10759
2023-11-19 12:00:00,9.610722,18.325264,18.30877,19.692307,20.510845,21.643501,21.775047,23.257591,23.224508,23.627302,24.311832,24.772099,25.151945,25.304567,25.382257,26.10818,25.588404,26.178152,26.570017,27.532003,27.849855,28.22259,29.13673,29.562004,30.302898,31.199938,31.420956,32.31763,33.19844,33.700638,34.2653,35.409763,35.931725,37.589428,38.81953,39.205677,41.006397,41.755325,42.695026,44.21663,45.61332,47.215164,49.563454,51.00732,53.837456,56.751984,59.5191,63.83944,70.88732,86.74251
2023-11-19 13:00:00,8.225397,16.44836,17.991274,18.981163,20.011215,21.018942,21.338882,22.277216,22.104816,22.66384,23.169477,24.182364,24.395239,24.691431,24.96884,25.531723,25.451035,25.769648,26.412052,27.126163,27.64031,28.463968,29.350231,29.975903,30.730886,31.900496,32.482067,33.458473,34.483128,35.34909,36.165844,37.50176,38.4605,39.776394,40.790592,41.83167,43.055126,44.27535,45.51531,46.98908,48.262978,49.996124,51.595684,53.90445,57.32047,60.392593,63.409798,66.887665,73.59859,88.950165
2023-11-19 14:00:00,5.0869455,10.699394,11.548634,11.938277,12.423808,13.282145,13.452995,14.182304,14.033285,14.467946,14.769911,15.674382,15.6862335,16.008123,16.353844,16.754683,16.902683,17.078157,17.494366,17.882723,18.186636,18.860312,19.38874,19.891571,20.483025,21.315979,21.788086,22.4666,23.342693,23.9814,24.521969,25.591238,26.277258,27.178682,27.97938,28.721134,29.544683,30.556847,31.44635,31.88519,32.623455,33.802994,34.630943,36.640007,38.764053,40.753677,41.969124,44.422615,48.522255,58.523956
2023-11-20 09:00:00,2.1427832,6.005514,7.925586,9.038723,10.181862,10.888926,11.3447485,12.072762,12.364541,12.87761,13.42928,13.802168,14.0543585,14.497344,14.796531,15.329119,15.561421,15.734987,15.972605,16.309341,16.7358,17.003166,17.471035,17.580517,17.989077,18.3663,18.621735,18.914015,19.119394,19.306492,19.615347,20.033293,20.238821,20.583408,20.710392,20.94096,21.0774,21.438065,21.735044,22.129627,22.686405,23.408567,24.142265,24.933786,25.921099,26.854053,28.243206,30.352713,33.206924,41.20802
2023-11-20 10:00:00,9.246527,14.408444,16.854969,18.82589,20.283758,21.345947,22.013489,23.012465,23.338985,23.967348,24.772516,25.38672,25.904205,26.595465,26.938711,27.623173,27.903332,28.227364,28.655554,29.081919,29.700068,30.098467,30.628841,30.73853,31.326162,31.862011,32.208454,32.714527,33.033993,33.437725,33.752655,34.34219,34.635403,35.11368,35.469105,35.882805,36.350967,36.777073,37.188206,37.85042,38.253002,38.6592,39.58419,40.048252,41.104347,42.259995,43.391354,45.218433,47.813213,57.32325
